tile_id,category,lon,lat,epsg,x0,y0,x1,y1,smod_code,crop_frac,built_frac,open_frac,water_frac
32643_276_1516,open_land,77.29113151469073,35.063498886511695,32643,706560,3880960,709120,3883520,11,0,0,0.8977,0.0008
32643_272_504,open_land,76.81053262132968,11.673193081095272,32643,696320,1290240,698880,1292800,11,0.082,0,0.9042,0
32644_96_1492,open_land,78.2382494980618,34.488292155202096,32644,245760,3819520,248320,3822080,11,0,0,0.9817,0.0183
32643_252_1465,open_land,76.57570316075301,33.89721335195219,32643,645120,3750400,647680,3752960,11,0,0,0.8364,0.0021
32644_246_1084,open_land,82.28719234397698,25.093863244660273,32644,629760,2775040,632320,2777600,11,0.0463,0,0.8651,0.0194
32644_86_1414,open_land,78.0237528274543,32.70236239550034,32644,220160,3619840,222720,3622400,11,0,0,0.8908,0.0004
32643_257_1458,open_land,76.71386508715881,33.72366160634516,32643,657920,3732480,660480,3735040,11,0,0,0.8328,0.0118
32642_230_1163,open_land,69.91042915623471,26.921849418154714,32642,588800,2977280,591360,2979840,11,0,0,0.9991,0
32642_236_1164,open_land,70.07017080480742,26.94719799088866,32642,604160,2979840,606720,2982400,11,0,0,1,0
32642_293_1156,open_land,71.53661643945927,26.752913992673275,32642,750080,2959360,752640,2961920,11,0.0326,0,0.9612,0
32643_243_1490,open_land,76.34983625977408,34.47088511058247,32643,622080,3814400,624640,3816960,11,0,0,0.9942,0.0052
32643_179_1447,open_land,74.57427309475007,33.48957622124829,32643,458240,3704320,460800,3706880,11,0,0,0.9576,0.0261
32642_280_1044,open_land,71.13973534877688,24.171234279897707,32642,716800,2672640,719360,2675200,11,0,0,1,0
32643_183_942,open_land,74.70012884144839,21.817210282791162,32643,468480,2411520,471040,2414080,12,0.1176,0,0.8368,0
32644_112_1073,open_land,78.90883023178316,24.841979583264,32644,286720,2746880,289280,2749440,12,0.0249,0,0.7117,0
32643_253_1403,open_land,76.5893710114895,32.46930012040326,32643,647680,3591680,650240,3594240,12,0,0.0004,0.7929,0.0027
32644_99_435,city_structures,78.76327574389937,10.076951775870132,32644,253440,1113600,256000,1116160,30,0.0999,0.3869,0.0295,0
32644_133_1224,city_structures,79.3929011752558,28.33628422913332,32644,340480,3133440,343040,3136000,30,0.5017,0.3566,0.1027,0.0055
32643_303_570,urban_areas,77.55798722651488,13.20758451519272,32643,775680,1459200,778240,1461760,21,0.7171,0.1009,0.0311,0.002
32643_290_471,urban_areas,77.24033626353439,10.915384877281445,32643,742400,1205760,744960,1208320,21,0.466,0.1178,0.194,0
32644_154_659,urban_areas,80.02916022861673,15.278401342150522,32644,394240,1687040,396800,1689600,21,0.358,0.1457,0.0903,0.0142
32643_104_1004,urban_areas,72.71631179736738,23.234426043591156,32643,266240,2570240,268800,2572800,22,0.6702,0.1499,0.0202,0.0002
32643_192_669,urban_areas,74.92826682857286,15.50804319607134,32643,491520,1712640,494080,1715200,23,0.5936,0.1568,0.0838,0
32643_233_1331,urban_areas,76.02428411076122,30.801248021610753,32643,596480,3407360,599040,3409920,23,0.5701,0.2046,0.0387,0.0152
32643_220_1399,urban_areas,75.67956798630527,32.38303861074704,32643,563200,3581440,565760,3584000,23,0.1533,0.1626,0.0336,0.0325
32644_158_718,urban_areas,80.11632749424811,16.62486361809069,32644,404480,1838080,407040,1840640,23,0.7197,0.1243,0.0047,0
32643_213_1265,urban_areas,75.47974806534202,29.288873944717825,32643,545280,3238400,547840,3240960,23,0.4354,0.3937,0.0275,0.0028
32643_276_874,urban_areas,76.9935148153972,20.23954209068223,32643,706560,2237440,709120,2240000,23,0.7402,0.1268,0.0394,0.0335
32643_101_972,urban_areas,72.65906506929379,22.491782472449227,32643,258560,2488320,261120,2490880,23,0.7008,0.1478,0.0294,0.0106
32643_215_1289,urban_areas,75.53067878315073,29.84325394975395,32643,550400,3299840,552960,3302400,23,0.7474,0.1768,0.0342,0.0011
32643_198_1295,urban_areas,75.08656245858113,29.98843688284896,32643,506880,3315200,509440,3317760,23,0.5273,0.3549,0.0333,0.0006
32644_124_692,urban_areas,79.30199494889543,16.033307808819867,32644,317440,1771520,320000,1774080,23,0.4992,0.1109,0.0995,0
32644_209_1211,urban_areas,81.36879178613266,28.03926815608453,32644,535040,3100160,537600,3102720,23,0.4588,0.1499,0.0306,0.0136
32643_212_1391,urban_areas,75.47043461796554,32.19337250849034,32643,542720,3560960,545280,3563520,23,0.778,0.1194,0.0089,0
32644_74_654,urban_areas,78.11173573613996,15.147220620508483,32644,189440,1674240,192000,1676800,23,0.4634,0.1574,0.2479,0.0441
32643_218_1117,urban_areas,75.59717804103612,25.867546372864354,32643,558080,2859520,560640,2862080,23,0.6344,0.1441,0.1664,0.003
32644_132_518,urban_areas,79.52881985685929,12.007529138425493,32644,337920,1326080,340480,1328640,23,0.4971,0.154,0.0244,0
32643_245_1356,urban_areas,76.34392908993074,31.376055521734067,32643,627200,3471360,629760,3473920,23,0.0943,0.246,0.0327,0.0015
32643_294_1156,urban_areas,77.55106455659234,26.752913992673275,32643,752640,2959360,755200,2961920,23,0.8326,0.1004,0.0191,0
32643_174_1054,urban_areas,74.48066493916856,24.41422256098376,32643,445440,2698240,448000,2700800,23,0.2014,0.1411,0.4267,0.0168
32643_266_1244,urban_areas,76.86114601229993,28.778148015716873,32643,680960,3184640,683520,3187200,23,0.6612,0.1532,0.0674,0.0045
32644_92_1454,open_land,78.17609754836151,33.61959407032468,32644,235520,3722240,238080,3724800,11,0,0,0.8968,0.0004
32642_230_1149,open_land,69.91629160780558,26.600953516604516,32642,588800,2941440,591360,2944000,11,0,0,0.9449,0
32644_93_1379,open_land,78.23570174862049,31.90054499089334,32644,238080,3530240,240640,3532800,11,0,0,0.733,0.0172
32644_97_1439,open_land,78.30509478710258,33.27304305651433,32644,248320,3683840,250880,3686400,11,0,0,0.7481,0
32644_124_1336,open_land,79.11384228693906,30.904102296258298,32644,317440,3420160,320000,3422720,11,0,0,0.7008,0.0074
32643_282_1474,open_land,77.42953791773549,34.079586087389316,32643,721920,3773440,724480,3776000,11,0,0,0.9996,0
32643_281_1459,open_land,77.37235447226595,33.74101081573391,32643,719360,3735040,721920,3737600,11,0,0,0.9461,0.0008
32643_110_1230,open_land,72.78118543387376,28.455178569135466,32643,281600,3148800,284160,3151360,11,0.1247,0.0027,0.8012,0
32644_88_1447,open_land,78.05474147623954,33.46358149252169,32644,225280,3704320,227840,3706880,11,0,0,0.9064,0
32643_273_1451,open_land,77.1475478706971,33.55890989225374,32643,698880,3714560,701440,3717120,11,0,0,0.9277,0
32643_302_1130,open_land,77.74566722950783,26.14552894409958,32643,773120,2892800,775680,2895360,11,0,0,0.8853,0.0002
32643_234_1494,open_land,76.08942040968002,34.56664080716732,32643,599040,3824640,601600,3827200,11,0,0,0.9988,0.0002
32643_271_1486,open_land,77.11581430421717,34.37517077936962,32643,693760,3804160,696320,3806720,11,0,0,0.8578,0
32643_170_1471,open_land,74.31538303040844,34.04483704256205,32643,435200,3765760,437760,3768320,11,0,0,0.9246,0
32644_102_1472,open_land,78.42499562600665,34.03615061995305,32644,261120,3768320,263680,3770880,11,0,0,0.9823,0.0012
32642_245_1166,open_land,70.28681686812764,26.98099945186224,32642,627200,2984960,629760,2987520,11,0.0413,0.0024,0.8471,0.0006
32644_89_1459,open_land,78.07711241801204,33.74101081573391,32644,227840,3735040,230400,3737600,11,0,0,0.8908,0
32643_300_1426,open_land,77.87485717245174,32.97888225492947,32643,768000,3650560,770560,3653120,11,0,0,0.9978,0
32643_251_1493,open_land,76.5746475240823,34.549227595640595,32643,642560,3822080,645120,3824640,11,0,0,0.9994,0
32643_283_1511,open_land,77.47881884305008,34.94135884868198,32643,724480,3868160,727040,3870720,11,0,0.0005,0.8744,0.0091
32642_283_1117,open_land,71.2420282702441,25.84228757876108,32642,724480,2859520,727040,2862080,11,0.0758,0.0048,0.7802,0.0002
32642_247_1169,open_land,70.33780272123144,27.057066826911996,32642,632320,2992640,634880,2995200,11,0.0017,0,0.9944,0
32642_211_1035,open_land,69.40095912481459,23.961902670746042,32642,540160,2649600,542720,2652160,11,0,0,0.9869,0.006
32642_293_1195,open_land,71.55048740250638,27.64937551929478,32642,750080,3059200,752640,3061760,11,0.0261,0,0.8598,0
